Lde,Dde,P15,P16,P17,P18,P19,P20,P1,P22,P23,Source-Prop-Ent
"Hormonal IUD is the major hormonal contraceptive method used among women aged 40-49 years: Data from the 2015-16 Tromsø Study, Norway",Publikation,"Bjørkås M, Skjeldestad FE",Eur J Obstet Gynecol Reprod Biol,Jan;280:93-97,+2023-01-01T00:00:00Z/9,10.1016/j.ejogrb.2022.11.019,Combined oral contraceptives; Hormonal contraceptives; Hormonal injection; Hormonal intrauterine device; Hormonal patch; Implants; Premenopausal women; Progestogen-only pills,https://pubmed.ncbi.nlm.nih.gov/36442379/,Hormonspirale,Geschlecht,"P3"
Ovarian function after seven years' use of a levonorgestrel IUD,Publikation,"Barbosa I, Olsson SE, Odlind V, Goncalves T, Coutinho E",Adv Contracept,Jun;11(2):85-95,+1995-01-01T00:00:00Z/9,10.1007/BF01987274,,https://pubmed.ncbi.nlm.nih.gov/7491859/,Hormonspirale,Effizienzmaße,P9
Lost levonorgestrel IUD: diagnosis and therapy,Publikation,"Nitke S, Rabinerson D, Dekel A, Sheiner E, Kaplan B, Hackmon R",Contraception,Apr;69(4):289-93,+2004-01-01T00:00:00Z/9,10.1016/j.contraception.2003.11.017,,https://pubmed.ncbi.nlm.nih.gov/15033403/,Hormonspirale,Effizienzmaße,P9
Comparative safety and efficacy of a dedicated postpartum IUD inserter versus forceps for immediate postpartum IUD insertion: a randomized trial,Publikation,"Blumenthal PD, Lerma K, Bhamrah R, Singh S; Dedicated PPIUD Inserter Working Group",Contraception,Sep;98(3):215-219,+2018-01-01T00:00:00Z/9,10.1016/j.contraception.2018.04.019,IUD; LARC; PPIUD; Postpartum contraception,https://pubmed.ncbi.nlm.nih.gov/29750926/,Hormonspirale,Material des Verhütungsmittels,P5
Risk factors for IUD failure: results of a large multicentre case-control study,Publikation,"Thonneau P, Almont T, de La Rochebrochard E, Maria B",Hum Reprod,Oct;21(10):2612-6,+2006-01-01T00:00:00Z/9,10.1093/humrep/del208,,https://pubmed.ncbi.nlm.nih.gov/16775156/,Hormonspirale,Effizienzmaße,P9
An evaluation of the levonorgestrel-releasing IUD: its advantages and disadvantages when compared to the copper-releasing IUDs,Publikation,Chi IC,Contraception,Dec;44(6):573-88,+1991-01-01T00:00:00Z/9,10.1016/0010-7824(91)90078-t,,https://pubmed.ncbi.nlm.nih.gov/1773615/,Hormonspirale,Material des Verhütungsmittels,P5
Ovarian function during use of a levonorgestrel-releasing IUD,Publikation,"Barbosa I, Bakos O, Olsson SE, Odlind V, Johansson ED",Contraception,Jul;42(1):51-66,+1990-01-01T00:00:00Z/9,10.1016/0010-7824(90)90092-a,,https://pubmed.ncbi.nlm.nih.gov/2117516/,Hormonspirale,Effizienzmaße,P9
Contraceptive efficacy of the Copper T380A and the Multiload Cu250 IUD in three developing countries,Publikation,"Farr G, Amatya R",Adv Contracept,Jun;10(2):137-49,+1994-01-01T00:00:00Z/9,10.1007/BF01978107,,https://pubmed.ncbi.nlm.nih.gov/7942261/,Kupferspirale,Effizienzmaße,P9
"The TCu-380A (AG), MLCu375, and Nova-T IUDs and the IUD daily releasing 20 micrograms levonorgestrel--four pillars of IUD contraception for the nineties and beyond?",Publikation,Chi IC,Contraception,Apr;47(4):325-47,+1993-01-01T00:00:00Z/9,10.1016/0010-7824(93)90031-2,,https://pubmed.ncbi.nlm.nih.gov/8508663/,Kupferspirale,Material des Verhütungsmittels,P5
The multiload IUD--a U.S. researcher's evaluation of a European device,Publikation,Chi IC,Contraception,Nov;46(5):407-25,+1992-01-01T00:00:00Z/9,10.1016/0010-7824(92)90145-j,,https://pubmed.ncbi.nlm.nih.gov/1458888/,Kupferspirale,Material des Verhütungsmittels,P5
Eight years with the same IUD,Publikation,"Bonacho I, Pita S, Gómez-Besteiro MI",Contraception,Apr;59(4):233-6,+1999-01-01T00:00:00Z/9,10.1016/s0010-7824(99)00022-0,,https://pubmed.ncbi.nlm.nih.gov/10457867/,Kupferspirale,Effizienzmaße,P9
Concentrations of copper in human secretions and weight of the copper wire during the 4 to 7 years after insertion of a Cu-IUD (intrauterine device),Publikation,"Larsson B, Frankman O, Hamberger L",Fertil Steril,Dec;36(6):734-6,+1981-01-01T00:00:00Z/9,10.1016/s0015-0282(16)45917-0,,https://pubmed.ncbi.nlm.nih.gov/7308517/,Kupferspirale,Effizienzmaße,P9
One-year results with the Fincoid IUD--a Hungarian experience with the short model,Publikation,Batár I,Adv Contracept,Jun;4(2):137-42,+1988-01-01T00:00:00Z/9,10.1007/BF01849515,,https://pubmed.ncbi.nlm.nih.gov/3213671/,Kupferspirale,Effizienzmaße,P9
The Dimélys IUD,Publikation,"Thiery M, Van Kets H, van der Pas H, Delbarge W, Parewijck W",Adv Contracept,Mar;3(1):43-7,+1987-01-01T00:00:00Z/9,10.1007/BF01849252,,https://pubmed.ncbi.nlm.nih.gov/3307331/,Kupferspirale,Geschlecht,"P3"
Safety of insertion of the copper IUD and LNG-IUS in nulliparous women: a systematic review,Publikation,"Foran T, Butcher BE, Kovacs G, Bateson D, O'Connor V",Eur J Contracept Reprod Health Care,Oct;23(5):379-386,+2018-01-01T00:00:00Z/9,10.1080/13625187.2018.1526898,Fertility; infection; intrauterine contraceptive devices; intrauterine device complications; intrauterine device expulsion; pain; parity,https://pubmed.ncbi.nlm.nih.gov/30382754/,Kupferspirale,Material des Verhütungsmittels,P5
Clinical profile of Implanon: a single-rod etonogestrel contraceptive implant,Publikation,Croxatto HB,Eur J Contracept Reprod Health Care,Sep;5 Suppl 2:21-8,+2000-01-01T00:00:00Z/9,,,https://pubmed.ncbi.nlm.nih.gov/11246604/,Hormonimplantat (Hormonstäbchen),Geschlecht,"P3"
Safety and efficacy of a single-rod etonogestrel implant (Implanon): results from 11 international clinical trials,Publikation,"Darney P, Patel A, Rosen K, Shapiro LS, Kaunitz AM",Fertil Steril,May;91(5):1646-53,+2009-01-01T00:00:00Z/9,10.1016/j.fertnstert.2008.02.140,,https://pubmed.ncbi.nlm.nih.gov/18423453/,Hormonimplantat (Hormonstäbchen),Effizienzmaße,P10
Management and localization strategies for the nonpalpable Implanon rod,Publikation,"Shulman LP, Gabriel H",Contraception,Apr;73(4):325-30,+2006-01-01T00:00:00Z/9,10.1016/j.contraception.2005.10.009,,https://pubmed.ncbi.nlm.nih.gov/16531160/,Hormonimplantat (Hormonstäbchen),Material des Verhütungsmittels,P5
"A 4-year pilot study on the efficacy and safety of Implanon, a single-rod hormonal contraceptive implant, in healthy women in Thailand",Publikation,"Kiriwat O, Patanayindee A, Koetsawang S, Korver T, Bennink HJ",Eur J Contracept Reprod Health Care,Jun;3(2):85-91,+1998-01-01T00:00:00Z/9,10.3109/13625189809051409,,https://pubmed.ncbi.nlm.nih.gov/9710712/,Hormonimplantat (Hormonstäbchen),Effizienzmaße,P9
A long-term study of the efficacy and acceptability of a single-rod hormonal contraceptive implant (Implanon) in healthy women in China,Publikation,"Zheng SR, Zheng HM, Qian SZ, Sang GW, Kaper RF",Eur J Contracept Reprod Health Care,Jun;4(2):85-93,+1999-01-01T00:00:00Z/9,10.3109/13625189909064009,,https://pubmed.ncbi.nlm.nih.gov/10427483/,Hormonimplantat (Hormonstäbchen),Effizienzmaße,P9
A randomized multicenter study comparing the efficacy and bleeding pattern of a single-rod (Implanon) and a six-capsule (Norplant) hormonal contraceptive implant,Publikation,"Zheng SR, Zheng HM, Qian SZ, Sang GW, Kaper RF",Contraception,Jul;60(1):1-8,+1999-01-01T00:00:00Z/9,10.1016/s0010-7824(99)00053-0,,https://pubmed.ncbi.nlm.nih.gov/10549446/,Hormonimplantat (Hormonstäbchen),Material des Verhütungsmittels,P5
A multicenter randomized clinical trial of one-rod etonogestrel and two-rod levonorgestrel contraceptive implants with nonrandomized copper-IUD controls: methodology and insertion data,Publikation,"Ortayli N, Culwell K, Jackson E, Ali M; WHO Study Group on Contraceptive Implants for Women",Contraception,Jan;87(1):113-20,+2013-01-01T00:00:00Z/9,10.1016/j.contraception.2012.08.044,,https://pubmed.ncbi.nlm.nih.gov/23063337/,Hormonimplantat (Hormonstäbchen),Material des Verhütungsmittels,P5
"Safety and efficacy of Implanon, a single-rod implantable contraceptive containing etonogestrel",Publikation,"Funk S, Miller MM, Mishell DR Jr, Archer DF, Poindexter A, Schmidt J, Zampaglione E; Implanon US Study Group",Contraception,May;71(5):319-26,+2005-01-01T00:00:00Z/9,10.1016/j.contraception.2004.11.007,,https://pubmed.ncbi.nlm.nih.gov/15854630/,Hormonimplantat (Hormonstäbchen),Effizienzmaße,P9
"The pharmacokinetics and pharmacodynamics of Implanon, a single-rod etonogestrel contraceptive implant",Publikation,Bennink HJ,Eur J Contracept Reprod Health Care,Sep;5 Suppl 2:12-20,+2000-01-01T00:00:00Z/9,,,https://pubmed.ncbi.nlm.nih.gov/11246602/,Hormonimplantat (Hormonstäbchen),Material des Verhütungsmittels,P5
Estradiol valerate/dienogest: in oral contraception,Publikation,"Hoy SM, Scott LJ",Drugs,Aug 20;69(12):1635-46,+2009-01-01T00:00:00Z/9,10.2165/11202820-000000000-00000,,https://pubmed.ncbi.nlm.nih.gov/19678714/,Kombinierte orale Kontrazeptiva (Pille),Effizienzmaße,P10
Oral contraception over the age of 40,Publikation,Kovacs L,Ann N Y Acad Sci,Nov;997:194-8,+2003-01-01T00:00:00Z/9,10.1196/annals.1290.022,,https://pubmed.ncbi.nlm.nih.gov/14644826/,Kombinierte orale Kontrazeptiva (Pille),Geschlecht,"P3"
"The new era in oral contraception: pills containing gestodene, norgestimate, and desogestrel",Publikation,London RS,Obstet Gynecol Surv,Nov;47(11):777-82,+1992-01-01T00:00:00Z/9,10.1097/00006254-199211000-00014,,https://pubmed.ncbi.nlm.nih.gov/1436906/,Kombinierte orale Kontrazeptiva (Pille),Material des Verhütungsmittels,P5
"A single-arm study to evaluate the efficacy, safety and acceptability of pericoital oral contraception with levonorgestrel",Publikation,"A single-arm study to evaluate the efficacy, safety and acceptability of pericoital oral contraception with levonorgestrel",Contraception,Mar;89(3):215-21,+2014-01-01T00:00:00Z/9,10.1016/j.contraception.2013.11.013,Levonorgestrel; Pericoital oral contraception; Single-arm study,https://pubmed.ncbi.nlm.nih.gov/24388695/,Kombinierte orale Kontrazeptiva (Pille),Effizienzmaße,P10
Pooled efficacy results of estetrol/drospirenone combined oral contraception phase 3 trials,Publikation,"Jensen JT, Kaunitz AM, Achilles SL, Zatik J, Weyers S, Piltonen T, Suturina L, Apolikhina I, Bouchard C, Chen MJ, Apter D, Jost M, Foidart JM, Creinin MD",Contraception,Dec;116:37-43,+2022-01-01T00:00:00Z/9,10.1016/j.contraception.2022.07.009,Combined oral contraception; Contraceptive efficacy; Drospirenone; E4; Estetrol; Native estrogen; Pearl Index,https://pubmed.ncbi.nlm.nih.gov/35921870/,Kombinierte orale Kontrazeptiva (Pille),Effizienzmaße,P10
Oral contraception,Publikation,"Evans G, Sutton EL",Med Clin North Am,May;99(3):479-503,+2015-01-01T00:00:00Z/9,10.1016/j.mcna.2015.01.004,Ethinyl estradiol; Levonorgestrel; Medical eligibility criteria; Oral contraception; Venous thromboembolism,https://pubmed.ncbi.nlm.nih.gov/25841596/,Kombinierte orale Kontrazeptiva (Pille),Geschlecht,"P3"
Ethinylestradiol/dienogest in oral contraception,Publikation,Pérez-Campos EF,Drugs,Apr 16;70(6):681-9,+2010-01-01T00:00:00Z/9,10.2165/11536320-000000000-00000,,https://pubmed.ncbi.nlm.nih.gov/20394455/,Kombinierte orale Kontrazeptiva (Pille),Material des Verhütungsmittels,P5
Types of progestogens in combined oral contraception: effectiveness and side-effects,Publikation,"Lawrie TA, Helmerhorst FM, Maitra NK, Kulier R, Bloemenkamp K, Gülmezoglu AM",Cochrane Database Syst Rev,May 11;(5):CD004861,+2011-01-01T00:00:00Z/9,10.1002/14651858.CD004861.pub2,,https://pubmed.ncbi.nlm.nih.gov/21563141/,Kombinierte orale Kontrazeptiva (Pille),Material des Verhütungsmittels,P5
Extended regimen combined oral contraception: A review of evolving concepts and acceptance by women and clinicians,Publikation,"Nappi RE, Kaunitz AM, Bitzer J",Eur J Contracept Reprod Health Care,21(2):106-15,+2016-01-01T00:00:00Z/9,10.3109/13625187.2015.1107894,Bleeding; Clinician attitudes; Combined hormonal contraception; Menstrual suppression; Oral contraceptives; Patient satisfaction,https://pubmed.ncbi.nlm.nih.gov/26572318/,Kombinierte orale Kontrazeptiva (Pille),Geschlecht,"P3"
Oestrogen-free oral contraception with a 4 mg drospirenone-only pill: new data and a review of the literature,Publikation,"Palacios S, Regidor PA, Colli E, Skouby SO, Apter D, Roemer T, Egarter C, Nappi RE, Skřivánek A, Jakimiuk AJ, Weyers S, Ács N, Elia D, Gemzell Danielsson K, Bitzer J",Eur J Contracept Reprod Health Care,Jun;25(3):221-227,+2020-01-01T00:00:00Z/9,10.1080/13625187.2020.1743828,Drospirenone; oestrogen-free contraception; progestins; spirolactone derivative,https://pubmed.ncbi.nlm.nih.gov/32312141/,Kombinierte orale Kontrazeptiva (Pille),Material des Verhütungsmittels,P5
Oral contraception: risks and benefits,Publikation,Steinberg WM,Adv Contracept,Dec;5(4):219-28,+1989-01-01T00:00:00Z/9,10.1007/BF01890893,,https://pubmed.ncbi.nlm.nih.gov/2700420/,Kombinierte orale Kontrazeptiva (Pille),Geschlecht,"P3"
Contraception Update: Oral Contraception,Publikation,"Brown EJ, Deshmukh P, Antell K",FP Essent,Nov;462:11-19,+2017-01-01T00:00:00Z/9,,,https://pubmed.ncbi.nlm.nih.gov/29172411/,Kombinierte orale Kontrazeptiva (Pille),Geschlecht,"P3"
Estetrol/Drospirenone: A Review in Oral Contraception,Publikation,"Lee A, Syed YY",Drugs,Jul;82(10):1117-1125,+2022-01-01T00:00:00Z/9,10.1007/s40265-022-01738-8,,https://pubmed.ncbi.nlm.nih.gov/35781795/,Kombinierte orale Kontrazeptiva (Pille),Material des Verhütungsmittels,P5
Contraceptive efficacy and acceptability of the female condom,Publikation,"Farr G, Gabelnick H, Sturgen K, Dorflinger L",Am J Public Health,Dec;84(12):1960-4,+1994-01-01T00:00:00Z/9,10.2105/ajph.84.12.1960,,https://pubmed.ncbi.nlm.nih.gov/7998637/,Kondom für Frauen (Femidom),Effizienzmaße,P9
Effectiveness of the female condom in preventing HIV and sexually transmitted infections: a systematic review and meta-analysis,Publikation,"Wiyeh AB, Mome RKB, Mahasha PW, Kongnyuy EJ, Wiysonge CS",BMC Public Health,Mar 12;20(1):319,+2020-01-01T00:00:00Z/9,10.1186/s12889-020-8384-7,Female condom; HIV; Sexually transmitted infections; Systematic review,https://pubmed.ncbi.nlm.nih.gov/32164652/,Kondom für Frauen (Femidom),Effizienzmaße,P9
The female condom (Femidom)--a study of user acceptability,Publikation,Sapire KE,S Afr Med J,Oct;85(10 Suppl):1081-4,+1995-01-01T00:00:00Z/9,,,https://pubmed.ncbi.nlm.nih.gov/8914556/,Kondom für Frauen (Femidom),Geschlecht,"P3"
Comparative contraceptive efficacy of the female condom and other barrier methods,Publikation,"Trussell J, Sturgen K, Strickler J, Dominik R",Fam Plann Perspect,Mar-Apr;26(2):66-72,+1994-01-01T00:00:00Z/9,,,https://pubmed.ncbi.nlm.nih.gov/8033980/,Kondom für Frauen (Femidom),Effizienzmaße,P7
The diaphragm with and without spermicide for contraception: a Cochrane review,Publikation,"Cook L, Nanda K, Grimes D",Hum Reprod,Apr;17(4):867-9,+2002-01-01T00:00:00Z/9,10.1093/humrep/17.4.867,,https://pubmed.ncbi.nlm.nih.gov/11925374/,Diaphragma (Pessar),Effizienzmaße,P9
"Effectiveness of the diaphragm, used continuously, without spermicide",Publikation,"Ferreira AE, Araújo MJ, Regina CH, Diniz SG, Faúndes A",Contraception,Jul;48(1):29-35,+1993-01-01T00:00:00Z/9,10.1016/0010-7824(93)90063-d,,https://pubmed.ncbi.nlm.nih.gov/8403903/,Diaphragma (Pessar),Effizienzmaße,P7
"The diaphragm with and without spermicide. A randomized, comparative efficacy trial",Publikation,"Bounds W, Guillebaud J, Dominik R, Dalberth BT",J Reprod Med,Nov;40(11):764-74,+1995-01-01T00:00:00Z/9,,,https://pubmed.ncbi.nlm.nih.gov/8592310/,Diaphragma (Pessar),Effizienzmaße,P7
SILCS diaphragm: postcoital testing of a new single-size contraceptive device,Publikation,"Schwartz JL, Ballagh SA, Creinin MD, Rountree RW, Kilbourne-Brook M, Mauck CK, Callahan MM",Contraception,Sep;78(3):237-44,+2008-01-01T00:00:00Z/9,10.1016/j.contraception.2008.04.118,,https://pubmed.ncbi.nlm.nih.gov/18692615/,Diaphragma (Pessar),Material des Verhütungsmittels,P5
"Contraceptive efficacy, safety, fit, and acceptability of a single-size diaphragm developed with end-user input",Publikation,"Schwartz JL, Weiner DH, Lai JJ, Frezieres RG, Creinin MD, Archer DF, Bradley L, Barnhart KT, Poindexter A, Kilbourne-Brook M, Callahan MM, Mauck CK",Obstet Gynecol,Apr;125(4):895-903,+2015-01-01T00:00:00Z/9,10.1097/AOG.0000000000000721,,https://pubmed.ncbi.nlm.nih.gov/25751199/,Diaphragma (Pessar),Effizienzmaße,P10
Contraception use and effectiveness among women in a trial of the diaphragm for HIV prevention,Publikation,"Blanchard K, Bostrom A, Montgomery E, van der Straten A, Lince N, de Bruyn G, Grossman D, Chipato T, Ramjee G, Padian N",Contraception,Jun;83(6):556-63,+2011-01-01T00:00:00Z/9,10.1016/j.contraception.2010.10.018,,https://pubmed.ncbi.nlm.nih.gov/21570554/,Kondom für Frauen (Femidom),Effizienzmaße,P9
The female condom,Publikation,McNamee K,Aust Fam Physician,Jun;29(6):555-7,+2000-01-01T00:00:00Z/9,,,https://pubmed.ncbi.nlm.nih.gov/10863812/,Kondom für Frauen (Femidom),Geschlecht,"P3"
"Consistent Condom Use Among Men Who Have Sex With Men in Lomé and Kara, Togo",Publikation,"Ruiseñor-Escudero H, Lyons C, Ketende S, Pitche V, Anato S, Tchalla J, Dometo S, Baral S",AIDS Res Hum Retroviruses,Jun;35(6):519-528,+2019-01-01T00:00:00Z/9,10.1089/AID.2018.0212,HIV; MSM; Togo; behavior; condoms; men who have sex with men,https://pubmed.ncbi.nlm.nih.gov/30714385/,Kondom für Männer,Geschlecht,"P3"
Condom effectiveness,Publikation,Corderoy EC,Fam Plann Perspect,Oct;11(5):271,+1979-01-01T00:00:00Z/9,,,https://pubmed.ncbi.nlm.nih.gov/520506/,Kondom für Männer,Effizienzmaße,P10
Condom effectiveness: where are we now?,Publikation,"Crosby R, Bounse S",Sex Health,Mar;9(1):10-7,+2012-01-01T00:00:00Z/9,10.1071/SH11036,,https://pubmed.ncbi.nlm.nih.gov/22348628/,Kondom für Männer,Effizienzmaße,P9
Condom use errors and problems: a global view,Publikation,"Sanders SA, Yarber WL, Kaufman EL, Crosby RA, Graham CA, Milhausen RR",Sex Health,Mar;9(1):81-95,+2012-01-01T00:00:00Z/9,10.1071/SH11095,,https://pubmed.ncbi.nlm.nih.gov/22348636/,Kondom für Männer,Effizienzmaße,P7
Update on adolescent condom use,Publikation,"Williams RL, Fortenberry JD",Curr Opin Obstet Gynecol,Oct;23(5):350-4,+2011-01-01T00:00:00Z/9,10.1097/GCO.0b013e32834a93bf,,https://pubmed.ncbi.nlm.nih.gov/21825988/,Kondom für Männer,Geschlecht,"P3"
Condom effectiveness in reducing heterosexual HIV transmission,Publikation,"Weller S, Davis K",Cochrane Database Syst Rev,2002(3):CD003255,+2001-01-01T00:00:00Z/9,10.1002/14651858.CD003255,,https://pubmed.ncbi.nlm.nih.gov/11687062/,Kondom für Männer,Effizienzmaße,P9
Can condom users likely to experience condom failure be identified?,Publikation,"Steiner M, Piedrahita C, Glover L, Joanis C",Fam Plann Perspect,Sep-Oct;25(5):220-3,+1993-01-01T00:00:00Z/9,,,https://pubmed.ncbi.nlm.nih.gov/8262171/,Kondom für Männer,Effizienzmaße,P9
Correlates of condom failure in a sexually active cohort of men who have sex with men,Publikation,"Stone E, Heagerty P, Vittinghoff E, Douglas JM Jr, Koblin BA, Mayer KH, Celum CL, Gross M, Woody GE, Marmor M, Seage GR 3rd, Buchbinder SP",J Acquir Immune Defic Syndr Hum Retrovirol,Apr 15;20(5):495-501,+1999-01-01T00:00:00Z/9,10.1097/00042560-199904150-00013,,https://pubmed.ncbi.nlm.nih.gov/10225233/,Kondom für Männer,Geschlecht,"P3"
Comparative evaluation of three Tactylon(TM) condoms and a latex condom during vaginal intercourse: breakage and slippage,Publikation,"Callahan M, Mauck C, Taylor D, Frezieres R, Walsh T, Martens M",Contraception,Mar;61(3):205-15,+2000-01-01T00:00:00Z/9,10.1016/s0010-7824(00)00096-2,,https://pubmed.ncbi.nlm.nih.gov/10827335/,Kondom für Männer,Material des Verhütungsmittels,P5
"Acceptability evaluation of a natural rubber latex, a polyurethane, and a new non-latex condom",Publikation,"Frezieres RG, Walsh TL",Contraception,Jun;61(6):369-77,+2000-01-01T00:00:00Z/9,10.1016/s0010-7824(00)00119-0,,https://pubmed.ncbi.nlm.nih.gov/10958880/,Kondom für Männer,Material des Verhütungsmittels,P5
Contraceptive effectiveness of a polyurethane condom and a latex condom: a randomized controlled trial,Publikation,"Steiner MJ, Dominik R, Rountree RW, Nanda K, Dorflinger LJ",Obstet Gynecol,Mar;101(3):539-47,+2003-01-01T00:00:00Z/9,10.1016/s0029-7844(02)02732-1,,https://pubmed.ncbi.nlm.nih.gov/12636960/,Kondom für Männer,Material des Verhütungsmittels,P5
Cervical cap versus diaphragm for contraception,Publikation,"Gallo MF, Grimes DA, Schulz KF",Cochrane Database Syst Rev,(4):CD003551,+2002-01-01T00:00:00Z/9,10.1002/14651858.CD003551,,https://pubmed.ncbi.nlm.nih.gov/12519602/,Portiokappe,Effizienzmaße,P9
The cervical cap,Publikation,Secor RM,NAACOGS Clin Issu Perinat Womens Health Nurs,3(2):236-45,+1992-01-01T00:00:00Z/9,,,https://pubmed.ncbi.nlm.nih.gov/1596432/,Portiokappe,Geschlecht,"P3"
The cervical cap: effectiveness as a contraceptive,Publikation,Boehm D,J Nurse Midwifery,Jan-Feb;28(1):3-6,+1983-01-01T00:00:00Z/9,10.1016/0091-2182(83)90238-0,,https://pubmed.ncbi.nlm.nih.gov/6551434/,Portiokappe,Effizienzmaße,P9
"Contraception with the cervical cap: effectiveness, safety, continuity of use, and user satisfaction",Publikation,"Powell MG, Mears BJ, Deber RB, Ferguson D",Contraception,Mar;33(3):215-32,+1986-01-01T00:00:00Z/9,10.1016/0010-7824(86)90015-6,,https://pubmed.ncbi.nlm.nih.gov/3720304/,Portiokappe,Effizienzmaße,P7
The cervical cap. An alternate barrier contraceptive method,Publikation,"Gilbirds WM 2nd, Jonas HS",Mo Med,Apr;79(4):216-8,+1982-01-01T00:00:00Z/9,,,https://pubmed.ncbi.nlm.nih.gov/7099129/,Portiokappe,Effizienzmaße,P7
Effectiveness of the cavity-rim cervical cap: results of a large clinical study,Publikation,"Richwald GA, Greenland S, Gerber MM, Potik R, Kersey L, Comas MA",Obstet Gynecol,Aug;74(2):143-8,+1989-01-01T00:00:00Z/9,,,https://pubmed.ncbi.nlm.nih.gov/2664609/,Portiokappe,Effizienzmaße,P9
Sponge versus diaphragm for contraception,Publikation,"Kuyoh MA, Toroitich-Ruto C, Grimes DA, Schulz KF, Gallo MF, Lopez LM",Cochrane Database Syst Rev,Jul 22;(5):CD003172,+2002-01-01T00:00:00Z/9,10.1002/14651858.CD003172,,https://pubmed.ncbi.nlm.nih.gov/23866318/,Verhütungsschwamm,Effizienzmaße,P10
The vaginal contraceptive sponge: a new non-prescription barrier contraceptive,Publikation,Lemberg E,Nurse Pract,"Oct;9(10):24-5, 29-32, 37",+1984-01-01T00:00:00Z/9,,,https://pubmed.ncbi.nlm.nih.gov/6387547/,Verhütungsschwamm,Geschlecht,"P3"
Collagen sponge as vaginal contraceptive barrier: critical summary of seven years of research,Publikation,"Chvapil M, Droegemueller W, Heine MW, MacGregor JC, Dotters D",Am J Obstet Gynecol,Feb 1;151(3):325-9,+1985-01-01T00:00:00Z/9,10.1016/0002-9378(85)90296-0,,https://pubmed.ncbi.nlm.nih.gov/2982268/,Verhütungsschwamm,Material des Verhütungsmittels,P5
Parity and use-effectiveness with the contraceptive sponge,Publikation,"McIntyre SL, Higgins JE",Am J Obstet Gynecol,Oct;155(4):796-801,+1986-01-01T00:00:00Z/9,10.1016/s0002-9378(86)80023-0,,https://pubmed.ncbi.nlm.nih.gov/3020983/,Verhütungsschwamm,Effizienzmaße,P10
Updated pregnancy rates for the Today contraceptive sponge,Publikation,"Edelman DA, North BB",Am J Obstet Gynecol,Nov;157(5):1164-5,+1987-01-01T00:00:00Z/9,10.1016/s0002-9378(87)80284-3,,https://pubmed.ncbi.nlm.nih.gov/3318467/,Verhütungsschwamm,Effizienzmaße,P10
Collagen sponge in gynecologic use,Publikation,"Chvapil M, Droegemueller W",Obstet Gynecol Annu,10:363-73,+1981-01-01T00:00:00Z/9,,,https://pubmed.ncbi.nlm.nih.gov/7024877/,Verhütungsschwamm,Material des Verhütungsmittels,P5
Benzalkonium chloride for vaginal contraception--the vaginal sponge,Publikation,"Meyer U, Gerhard I, Runnebaum B",Geburtshilfe Frauenheilkd,Jul;50(7):542-7,+1990-01-01T00:00:00Z/9,10.1055/s-2008-1026298,,https://pubmed.ncbi.nlm.nih.gov/2391020/,Verhütungsschwamm,Material des Verhütungsmittels,P5
Spermicidal and antiviral properties of cholic acid: contraceptive efficacy of a new vaginal sponge (Protectaid) containing sodium cholate,Publikation,"Psychoyos A, Creatsas G, Hassan E, Georgoulias V, Gravanis A",Hum Reprod,Jun;8(6):866-9,+1993-01-01T00:00:00Z/9,10.1093/oxfordjournals.humrep.a138156,,https://pubmed.ncbi.nlm.nih.gov/7688380/,Verhütungsschwamm,Material des Verhütungsmittels,P5
Coitus interruptus. Considerations as a method of birth control,Publikation,Lethbridge DJ,J Obstet Gynecol Neonatal Nurs,Jan-Feb;20(1):80-5,+1991-01-01T00:00:00Z/9,10.1111/j.1552-6909.1991.tb01680.x,,https://pubmed.ncbi.nlm.nih.gov/2005488/,Coitus interruptus,Geschlecht,"P3"
Evaluation of the frequency of coitus interruptus and the effect of contraception counselling on this frequency,Publikation,"Demir O, Ozalp M, Sal H, Aran T, Osmanagaoglu MA",J Obstet Gynaecol,Apr;41(3):453-458,+2021-01-01T00:00:00Z/9,10.1080/01443615.2020.1754370,Fertility control; general gynaecology,https://pubmed.ncbi.nlm.nih.gov/32543257/,Coitus interruptus,Effizienzmaße,P9
Contraceptive withdrawal in adolescents: a complex picture of usage,Publikation,"Woods JL, Hensel DJ, Fortenberry JD",J Pediatr Adolesc Gynecol,Aug;22(4):233-7,+2009-01-01T00:00:00Z/9,10.1016/j.jpag.2008.11.001,,https://pubmed.ncbi.nlm.nih.gov/19646669/,Coitus interruptus,Geschlecht,"P3"
Use of withdrawal and unintended pregnancy among females 15-24 years of age,Publikation,"Dude A, Neustadt A, Martins S, Gilliam M",Obstet Gynecol,Sep;122(3):595-600,+2013-01-01T00:00:00Z/9,10.1097/AOG.0b013e31829d8074,,https://pubmed.ncbi.nlm.nih.gov/23921858/,Coitus interruptus,Geschlecht,"P3"
On the reliability of temperature method for contraception,Publikation,Döring GK,Dtsch Med Wochenschr,Jun 9;92(23):1055-61,+1967-01-01T00:00:00Z/9,10.1055/s-0028-1103790,,https://pubmed.ncbi.nlm.nih.gov/6024685/,Temperaturmethode (Symptothermale Methode),Effizienzmaße,P10
Cervical-mucus and basal body-temperature method of regulating births. Field trial,Publikation,Marshall J,Lancet,Aug 7;2(7980):282-3,+1976-01-01T00:00:00Z/9,10.1016/s0140-6736(76)90732-7,,https://pubmed.ncbi.nlm.nih.gov/59854/,Temperaturmethode (Symptothermale Methode),Effizienzmaße,P10
